Lake,Year,Alk/Acid,Tot-P,WaterTemp,LakeYear,BelowLN,Size,Richness,Latfix,DCA1,DCA2
Älgarydssjön,1995,0.017,14.5,15.75,Älgarydssjön 1995,YES,0.319,28,57.1756836,0.153007604,-0.34330515
Älgarydssjön,1996,0.027,10,14.25,Älgarydssjön 1996,YES,0.319,24,57.1756836,-0.174925259,0.635319035
Älgarydssjön,1997,0.021,10,16.35,Älgarydssjön 1997,YES,0.319,20,57.1756836,0.025664565,-0.057498457
Älgarydssjön,1998,1.00E-04,17,12.45,Älgarydssjön 1998,YES,0.319,31,57.1756836,-0.632906989,0.391697547
Älgarydssjön,1999,0.013,29.5,12.1,Älgarydssjön 1999,YES,0.319,29,57.1756836,-1.114890509,-0.046651418
Älgarydssjön,2000,5.00E-04,25.5,14.35,Älgarydssjön 2000,YES,0.319,22,57.1756836,-1.048843948,-0.136410246
Älgarydssjön,2001,0.002,29.5,15.2,Älgarydssjön 2001,YES,0.319,25,57.1756836,-0.498122432,-0.545437782
Älgarydssjön,2002,0.014,23,12.95,Älgarydssjön 2002,YES,0.319,18,57.1756836,-1.298629283,-0.236136452
Älgarydssjön,2003,0.0185,21.5,15.2,Älgarydssjön 2003,YES,0.319,31,57.1756836,-1.424805818,-0.158739893
Älgarydssjön,2004,0.0025,28,17,Älgarydssjön 2004,YES,0.319,24,57.1756836,-0.660128477,-0.182978048
Älgarydssjön,2005,1.00E-04,33,14.05,Älgarydssjön 2005,YES,0.319,29,57.1756836,-0.725012215,0.225436193
Älgarydssjön,2006,0.0155,29.5,15,Älgarydssjön 2006,YES,0.319,29,57.1756836,-0.087904204,-0.131893267
Älgarydssjön,2007,1.00E-04,20,14,Älgarydssjön 2007,YES,0.319,26,57.1756836,0.106025399,1.006775771
Älgarydssjön,2008,1.00E-04,26.5,13.45,Älgarydssjön 2008,YES,0.319,25,57.1756836,-0.760238101,-0.031169607
Älgarydssjön,2009,1.00E-04,28,14.3,Älgarydssjön 2009,YES,0.319,27,57.1756836,-0.682316855,-0.147122001
Älgarydssjön,2010,1.00E-04,25,9.4,Älgarydssjön 2010,YES,0.319,27,57.1756836,-0.722001383,0.165976273
Älgarydssjön,2011,1.00E-04,18.33333333,9.833333333,Älgarydssjön 2011,YES,0.319,22,57.1756836,-0.86615311,0.125413746
Älgarydssjön,2012,1.00E-04,17,12.95,Älgarydssjön 2012,YES,0.319,25,57.1756836,-1.355193298,0.183351666
Älgarydssjön,2013,0.022,22,14.7,Älgarydssjön 2013,YES,0.319,27,57.1756836,-0.596064864,0.853345158
Älgarydssjön,2014,0.018,22.6,15.65,Älgarydssjön 2014,YES,0.319,15,57.1756836,-0.422731959,0.149652781
Älgarydssjön,2015,0.018,16.1,14.3,Älgarydssjön 2015,YES,0.319,15,57.1756836,-0.184877501,0.278001508
