Area_ID,AreaCode,CountryCode,Name,Latitude,Longitude,ElevationMax,ElevationMin,Jurisdiction,County,OwnerType,SizeInHa,WaterAreaPercent,SoilType,VegetType,RockType,SoilMaterialType,Precipitation,SnowPercentOfPrec,LongTermTemp,HydrologicalCycleLength,VegetationPeriodLength,History,Investigation,StressFactor,Pollution
1,AT01,AT,ZÖBELBODEN,N475030,E142630,950,550,PROVINCE OBERÖSTERREICH,DISTRICT: STEYER,FEDER. FOREST OF AT,90,0,"Brown loam(cambisol),rendsic s.(rendzic leptosol)","Mixed mountain forest(beech), prod. forest spruce","Norian dolomite, small areas limestone",NULL,1650,NULL,6.7,365,190,"PART OF LIMESTONE ALPS NAT.PARK (KALKALPEN)SINCE 1998. PLOT1-PLATEAU:DOM.SOIL CAMBISOL,SPRUCE(BEECH+LARCH<10%),PRODUCTION FOREST (CLEARCUTTING UPT0 1997). PLOT2-SLOPES:DOM.SOIL RENDZIC LEPTOSOL,MIXED MONT.FOREST(BEECH,FIR,MAPLE,LARCH,ASH).",NO EARLIER INVESTIGATIONS,"FORESTRY, HUNTING",NULL
6,CZ02,CZ,LYSINA,N50 03 ,E12 40 ,949,829,NULL,NULL,NULL,27.3,0,Podzolic brown forest soils,Norway spruce,Coarse-grained leucigranite with trace of biotite,Overlain by soil derived from residuum,950,NULL,5,365,NULL,"SITE LOCATED INSIDE A PROTECTED LANDSCAPE AREA, LOWER PROTECTION STATUS THAN NAT. PARKS",NULL,NULL,NULL
7,DE01,DE,FORELLENBACH,N485638,E132503,1250,787,BAVARIA,GRAFENAU,STATE,68.8,2,"Dystric cambisols+d.gleysols,g.cambisols&histosols",Montane mixed forest 65% of forest,"Granite (carboniferous), gneiss",NULL,1300,25,5.6,90,194,"UNTIL 1970 FOREST AREAS ECONOMICALLY USED.IN 1970 PART OF NATIONAL PARK BAYERISCHER WALD, WHICH WAS RECOGNIZED AS A BIOSPHERE RESERVE OF UNESCO IN 1981",CA 350 RESEARCH ACTIVITIES HAVE BEEN CARRIED OUT SINCE 1970.WITHIN THE GROSSE OHE VARIOUS MONITORING ACTIVIES ARE GOING ON. DE01 WAS IMPLEMENTED IN 1990.,TOURISTS ARE ALLOWED TO VISIT PARTS OF THE NATIONAL PARK.,"PREDOMINANTLY LONG-RANGE TRANSBOUNDARY TRANSPORT OF AIR POLLUTANTS.MINOR LOCAL SOURCES: DOMESTIC HEATING FROM NEARBY VILLAGES, A FEW GLASSWORKS AND WOOD PROCESSING"
8,DE02,DE,NEUGLOBSOW,N53 08 ,E13 02 ,120,40,BRANDENBURG,OBERHAVEL,STATE,2139.5,50,Luvisols (parabraunerde+podzol near lake),"Forest 90%, measuring station forest beech(+pine)","Pleistocene, brandenburger ph.of weichsel-glacial period","Glacifluviatil sand (fine/middle), part gravel/stone",667,NULL,7.9,365,223,"NATURE RESERVE SINCE 1938. IN FORMER TIME: PATTER OF WOODLAND, DEFORESTATION (HIGH USE OF FORESTS DURING 18. AND BEGIN. OF 19. CENTURY),REFORESTATION OF PINE (PINUS SYLVESTRIS) AT LARGE AREAS (19. CENTURY); SO CALLED ""WOODLAND PASTURE"".",LIMNOLOGICAL STATION SINCE 1959; METEOROLOGICAL STATION SINCE 1958 (WITH HYDROLOGICAL RESEARCH).,NATURE RESERVE SINCE 1938 - NO LAND USE. LAKE: 1966-1989 TAKING OF COOLANT (NUCLEAR POWER PLANT); TOURISM; SWIMMING.,NULL
12,EE01,EE,VILSANDI,N58 23 ,E21 51 ,4,2,VILSANDI ISLAND,SAAREMAA,STATE,0.8,0,Dystric luvisols,Pinus sylvestris,Limestone,NULL,570,14,6.1,262,187,IN VILSANDI LIMITED MANAGEMENT ZONE OF VILSANDI NAT.PARK AND VILSANDI SPEC.PROT.AREA (SPA) AND SPEC. AREAS OF CONSERVATION (SAC)(EE0040496).VILSANDI IS ALSO RAMSAR AND HELCOM AREA.IM SITE IS PARTLY COVERED WITH WOODLAND KEY HABITAT (125078),NULL,NULL,NULL
13,EE02,EE,SAAREJÄRVE,N58 39 ,E26 45 ,77,44,VOOREMAA,JÖGEVA,STATE,332,8,NULL,Mixed norway spruce and scotch pine,Sandstone,"Clays, sandstones",613,17,4.5,175,125,FOREST SELECTIVELY LOGGED BUT NO SERIOUS DISTURB. OCC. DURING LAST 2 CENTURIES. PROTECT.SINCE 1958 AGAINST LOGGINGS OTHER THAN OF DEAD TREES. PARTLY COVERED WITH SAARJÄRVE NATURE PARK AND SAARE SPEC. AREAS OF CONSERVATION,"FOREST INVENTORY ONCE IN 10 YEARS, LAST IN 1991,LIMNOLOGICALSTUDIES IN 1925,34,53 AND 64.STUDY OF THE LAKE IN1951 INCL. HYDROLOGY,HYDROCHEM,PLANKTON,BENTHOS,FISH COMPOS,MACROFLORA.","ANTHROPOGENIC STRESS: HUNTING AND SWIMMING. ONE SMALL FARM IN THE WATERSHEAD AREA (2 COWS, SOME PIGS AND HENS).","IN 1986-89 18 KG OF S, WET DEP. OF OTHER ELEMENTS IN OPEN AREA IN 89 CL 8, S 21, N 17, NA 10, K 34, MG 41, CA 77, PROTON0.08."
14,ES02,ES,BERTIZ,N43 09 ,W01 37 ,649,225,NAVARRA,BERTIZARANA,STATE,137,0,NULL,NULL,NULL,NULL,1696.9,NULL,14.1,365,365,"XIV CENTURY->SHEEP HERDING,WOODCUTTING,CHARCOAL&QUICKLIME PROD.IN 1898 FOR PRIVATE RECREATION. WOODCUTTING TIMBER EXTRACTION SUSPENDED, TRADITIONAL LAND USE REDUCED, ENTRANCE RESTRICTED.STATE OWNED 1948->NATIONAL PARK 1984,NATURA2000 SITE.","FAUNA & FLORA INVENTORIES, LAND USE & FOREST MANAGEMENT STUDIES. STUDY OF ECONOMIC IMPACT OF THE NATURAL PARK ON THE SURROUNDING AREA.",VISITORS CROSSING THE CATCHMENT ALONG A WELL-DEFINED WALKING PATH.MUSHROOM COLLECTION IN AUTUMN. PROBABLE INPUTS OF (LEAD) AMMUNITION USED IN PIGEON HUNTING BY THE BOUNDARY OF THE CATCHMENT DURING LATE OCT-EARLY NOV.,NULL
15,FI01,FI,VALKEA-KOTINEN,N611412,E250341,190,150,HÄME PROVINCE,LAMMI MUNICIPALITY,STATE,30,12,"Dystric cambisols, 1/5 histosols(peat)",Norway spruce,Granodiorite,NULL,618,30,3.1,210,112,"CONSERVATION OF PRIMEVAL FOREST. PART OF NATURA2000 SITE FI0325001 EVON ALUE (LAMMI, PADASJOKI, ASIKKALA)",DEPOSITION,BEAVER ACTIVITY UNTIL 1985,PRECIPITATION : TOTAL N 40-60 MG/M2/MONTH
17,FI03,FI,HIETAJÄRVI,N630905,E304045,214,165,NORTH KARELIA PROVINCE,LIEKSA MUNICIPALITY,STATE,464,24,"Fibric histosols 1/3, rest podzols",Pinus sylvestris,Granodiorite,NULL,592,35,2,185,102,"RIVER SYST OF SUOMUNJOKI BEL. TO SPEC. WATER PROTECTION SYSTEM SINCE 1977. LIES WITHIN THE PATVINSUO NATIONAL PARK EST. 1981,NATURA2000 FI0700047 PATVINSUO (PATVINSUON KANSALLISPUISTO,KISSANSUO-RAANISUO-TOHLINSUON SOIDENS,KOITEREEN SAARET)",WATER QUALITY RESEARCH 1987-; BATHYMETRY OF LAKE 1988,NO OBSERVED INFLUENCE OF PREVIOUS FOREST FERTILIZATION. SLIGHT RECREATIONAL LOAD,PRECIPITATION: TOTAL N 40-60
18,FI04,FI,PESOSJÄRVI,N661712,E292632,300,256,KAINUU PROVINCE,KUUSAMO MUNICIPALITY,STATE,630,9,"Histosols 1/5, most nonorganic podzols",NULL,Greenstone,NULL,571,35,-0.5,156,82,"PESOSJÄRVI WAS IN POSSESION OF THE LOCAL FISHING CORPORATIONUNTIL 1988. PART OF KITKANNIEMI AREA WHICH WAS INCORPORATED INTO OULANKA NAT. PARK IN 1989, PART OF NATURA2000 SITE FI1101645 OULANKA",WATER QUALITY 1986-,NATURE TRAIL KARHUNKIERROS LEADS TO THE EAST SIDE OF LAKE PESOSJÄRVI.,PRECIPITATION LOAD TOTAL N 20-40 MG/M2/MONTH
