Subprog,AreaCode,AreaName,InstCode,StationCode,Medium,ListMedium,SamplingLevel,YearMonth,Day,SpatialPool,Parncc,ParamName,ParamList,value,unit,DataQualityFlag,StatusFlag,Param_id,dpdate,Sample_id
FC,DE01,FORELLENBACH                  ,GG,70,PICE ABI,B4,3000,199311,NULL,6,B_AEP   ,BORON                         ,DX,10.733,MG/KG     ,NULL,NULL,157,08/01/1999,58033
FC,DE01,FORELLENBACH                  ,GG,70,PICE ABI,B4,3000,199311,NULL,6,CA_AEP  ,CALCIUM                       ,DA,1920,MG/KG     ,NULL,NULL,150,08/01/1999,58033
FC,DE01,FORELLENBACH                  ,GG,70,PICE ABI,B4,2450,199610,NULL,7,CA_AEP  ,CALCIUM                       ,DA,1892.86,MG/KG     ,NULL,NULL,150,08/01/1999,58031
FC,DE01,FORELLENBACH                  ,GG,70,PICE ABI,B4,3000,199511,NULL,6,CA_AEP  ,CALCIUM                       ,DA,3420,MG/KG     ,NULL,NULL,150,08/01/1999,58035
FC,DE01,FORELLENBACH                  ,GG,70,PICE ABI,B4,3000,199410,NULL,6,CA_AEP  ,CALCIUM                       ,DA,1986.67,MG/KG     ,NULL,NULL,150,08/01/1999,58034
FC,DE01,FORELLENBACH                  ,GG,70,PICE ABI,B4,3000,199410,NULL,6,CD_AEP  ,CADMIUM                       ,DA,0.919,MG/KG     ,NULL,NULL,243,08/01/1999,58034
FC,DE01,FORELLENBACH                  ,GG,70,PICE ABI,B4,3000,199311,NULL,6,CD_AEP  ,CADMIUM                       ,DA,0.383,MG/KG     ,NULL,NULL,243,08/01/1999,58033
FC,DE01,FORELLENBACH                  ,GG,70,PICE ABI,B4,2450,199610,NULL,7,CD_AEP  ,CADMIUM                       ,DA,0.5,MG/KG     ,L,NULL,243,08/01/1999,58031
FC,DE01,FORELLENBACH                  ,GG,70,PICE ABI,B4,3000,199511,NULL,6,CD_AEP  ,CADMIUM                       ,DA,0.5,MG/KG     ,L,NULL,243,08/01/1999,58035
FC,DE01,FORELLENBACH                  ,GG,70,PICE ABI,B4,3000,199511,NULL,6,COR_T   ,TOTAL ORGANIC CARBON          ,DA,483300,MG/KG     ,NULL,NULL,379,08/01/1999,58035
FC,DE01,FORELLENBACH                  ,GG,70,PICE ABI,B4,2450,199610,NULL,7,COR_T   ,TOTAL ORGANIC CARBON          ,DA,489329,MG/KG     ,NULL,NULL,379,08/01/1999,58031
FC,DE01,FORELLENBACH                  ,GG,70,PICE ABI,B4,3000,199410,NULL,6,COR_T   ,TOTAL ORGANIC CARBON          ,DA,490267,MG/KG     ,NULL,NULL,379,08/01/1999,58034
FC,DE01,FORELLENBACH                  ,GG,70,PICE ABI,B4,3000,199410,NULL,6,CU_AEP  ,COPPER                        ,DA,4.8,MG/KG     ,NULL,NULL,158,08/01/1999,58034
FC,DE01,FORELLENBACH                  ,GG,70,PICE ABI,B4,3000,199311,NULL,6,CU_AEP  ,COPPER                        ,DA,2.8,MG/KG     ,NULL,NULL,158,08/01/1999,58033
FC,DE01,FORELLENBACH                  ,GG,70,PICE ABI,B4,3000,199511,NULL,6,CU_AEP  ,COPPER                        ,DA,3.8,MG/KG     ,NULL,NULL,158,08/01/1999,58035
FC,DE01,FORELLENBACH                  ,GG,70,PICE ABI,B4,2450,199610,NULL,7,CU_AEP  ,COPPER                        ,DA,2.64,MG/KG     ,NULL,NULL,158,08/01/1999,58031
FC,DE01,FORELLENBACH                  ,GG,70,PICE ABI,B4,2450,199610,NULL,7,K_AEP   ,POTASSIUM                     ,DA,5544.29,MG/KG     ,NULL,NULL,152,08/01/1999,58031
FC,DE01,FORELLENBACH                  ,GG,70,PICE ABI,B4,3000,199511,NULL,6,K_AEP   ,POTASSIUM                     ,DA,5918.33,MG/KG     ,NULL,NULL,152,08/01/1999,58035
FC,DE01,FORELLENBACH                  ,GG,70,PICE ABI,B4,3000,199311,NULL,6,K_AEP   ,POTASSIUM                     ,DA,5021.67,MG/KG     ,NULL,NULL,152,08/01/1999,58033
FC,DE01,FORELLENBACH                  ,GG,70,PICE ABI,B4,3000,199410,NULL,6,K_AEP   ,POTASSIUM                     ,DA,5543.33,MG/KG     ,NULL,NULL,152,08/01/1999,58034
