Subprog,Area,Inst,StationCode,Species,ListSpecies,level,YYYYMM,Spool,Param,ParamList,value,QualityFlag,StatusFlag,Unit,Method,parloc,SampleNumber,SpeciesName,ParamName
VG,DE01,GR,50,PICE ABI,B4,NULL,199509,94,COVE_T  ,IM,65,NULL,NULL,%         ,NULL,319,1583,PICEA ABIES                                             ,COVER. OF SPECIES/TREE LAYER  
VG,DE01,GR,50,PICE ABI,B4,NULL,199509,94,NUM_L   ,IM,376,NULL,NULL,/HA       ,NULL,323,1583,PICEA ABIES                                             ,NUMBER OF LIVING TREES        
VG,DE01,GR,50,PICE ABI,B4,NULL,199509,9,NUM_D   ,IM,36,NULL,NULL,/HA       ,NULL,324,1583,PICEA ABIES                                             ,NUMBER OF DEAD STANDING TREES 
VG,DE01,GR,50,PICE ABI,B4,NULL,199509,16,NUM_F   ,IM,64,NULL,NULL,/HA       ,NULL,325,1583,PICEA ABIES                                             ,NUMBER OF FALLEN TREES        
VG,DE01,GR,50,PICE ABI,B4,NULL,199509,94,HCROW_  ,IM,17.8,NULL,NULL,M         ,NULL,327,1583,PICEA ABIES                                             ,CROWN HEIGHT                  
VG,DE01,GR,50,PICE ABI,B4,NULL,199509,94,DBH_L   ,IM,45.2,NULL,NULL,CM        ,NULL,328,1583,PICEA ABIES                                             ,DIAMETER OF STEM OF LIVE TREES
VG,DE01,GR,50,PICE ABI,B4,NULL,199509,9,DBH_D   ,IM,31,NULL,NULL,CM        ,NULL,329,1583,PICEA ABIES                                             ,DIAMETER OF STEM OF DEAD TREES
VG,DE01,GR,50,PICE ABI,B4,NULL,199509,94,HEIG_L  ,IM,33.5,NULL,NULL,M         ,NULL,332,1583,PICEA ABIES                                             ,HEIGHT OF LIVING TREES        
VG,DE01,GR,50,FAGU SYL,B4,NULL,199509,70,NUM_L   ,IM,280,NULL,NULL,/HA       ,NULL,323,1583,FAGUS SYLVATICA                                         ,NUMBER OF LIVING TREES        
VG,DE01,GR,50,FAGU SYL,B4,NULL,199509,8,NUM_D   ,IM,32,NULL,NULL,/HA       ,NULL,324,1583,FAGUS SYLVATICA                                         ,NUMBER OF DEAD STANDING TREES 
VG,DE01,GR,50,FAGU SYL,B4,NULL,199509,4,NUM_F   ,IM,16,NULL,NULL,/HA       ,NULL,325,1583,FAGUS SYLVATICA                                         ,NUMBER OF FALLEN TREES        
VG,DE01,GR,50,FAGU SYL,B4,NULL,199509,70,DBH_L   ,IM,12.2,NULL,NULL,CM        ,NULL,328,1583,FAGUS SYLVATICA                                         ,DIAMETER OF STEM OF LIVE TREES
VG,DE01,GR,50,FAGU SYL,B4,NULL,199509,8,DBH_D   ,IM,11,NULL,NULL,CM        ,NULL,329,1583,FAGUS SYLVATICA                                         ,DIAMETER OF STEM OF DEAD TREES
VG,DE01,GR,50,FAGU SYL,B4,NULL,199509,70,HEIG_L  ,IM,11.3,NULL,NULL,M         ,NULL,332,1583,FAGUS SYLVATICA                                         ,HEIGHT OF LIVING TREES        
VG,DE01,GR,50,FAGU SYL,B4,NULL,199509,70,COVE_T  ,IM,25,NULL,NULL,%         ,NULL,319,1583,FAGUS SYLVATICA                                         ,COVER. OF SPECIES/TREE LAYER  
VG,DE01,GR,51,POHL NUT,M2,NULL,199507,16,FERT_   ,IM,0,NULL,NULL,%         ,NULL,279,385,POHLIA NUTANS (HEDW.) LINDB.                            ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,51,POHL NUT,M2,NULL,199507,16,FREQ_   ,IM,6,NULL,NULL,%         ,NULL,280,385,POHLIA NUTANS (HEDW.) LINDB.                            ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,51,POHL NUT,M2,NULL,199507,16,COVE_B  ,IM,0.1,NULL,NULL,%         ,NULL,322,385,POHLIA NUTANS (HEDW.) LINDB.                            ,COVER. OF SPECIES/BOTTOM LAYER
VG,DE01,GR,51,RUBU IDA,B4,NULL,199507,16,FERT_   ,IM,0,NULL,NULL,%         ,NULL,279,385,RUBUS IDAEUS                                            ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,51,RUBU IDA,B4,NULL,199507,16,FREQ_   ,IM,6,NULL,NULL,%         ,NULL,280,385,RUBUS IDAEUS                                            ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,51,RUBU IDA,B4,NULL,199507,16,COVE_F  ,IM,0.1,NULL,NULL,%         ,NULL,321,385,RUBUS IDAEUS                                            ,COVER. OF SPECIES/FIELD LAYER 
VG,DE01,GR,51,VACC MYR,B4,NULL,199507,16,FERT_   ,IM,6,NULL,NULL,%         ,NULL,279,385,VACCINIUM MYRTILLUS                                     ,FERTILITY OF SPECIES F+B LAYER
