SPECIES,LISTSPE,Family,Genus,sp,Nomenclature,Full Sp Name,Kommentar
ABIE ALB,B4,,,,,Abies alba,
ACER CAM,B4,,,,,Acer campestre,
ACER OBT,B4,,,,,,nicht in B4
ACER PLA,B4,,,,,Acer platanoides,
ACER PSE,B4,,,,,Acer pseudoplatanus,
ACER Z,B4,,,,,ACER SP.,ACER   Z ist korrekt
ACHI MIL,B4,,,,,Achillea millefolium,
ACIALPI,BX_AT,,,,,Acinos alpinus,
ACON NAP,B4,,,,,Aconitum napellus,
ACON VUL,B4,,,,,Aconitum vulparia,
ACONITUZ,B4,,,,,ACONITUM SP.,
ACTA SPI,B4,,,,,Actaea spicata,
ADENOALL,BX_AT,,,,,ADENOSTYLES ALLIARIAE,
ADENOGLA,BX_AT,,,,,Adenostyles glabra,
ADOX MOS,B4,,,,,Adoxa moschatellina,
AEGO POD,B4,,,,,Aegopodium podagraria,
AGRO CAP,B4,,,,,Agrostis capillaris,
AGRO CNA,B4,,,,,Agrostis canina,
AGRO CUR,B4,,,,,,nicht in B4
AGRO GIG,B4,,,,,Agrostis gigantea,
AGRO REP,B4,,,,,Agropyron repens,
AGRO STO,B4,,,,,Agrostis stolonifera,
AGRO TEN,B4,,,,,Agrostis tenuis,
AGROSTIZ,B4,,,,,AGROSTIS SP.,
AJUG PYR,B4,,,,,Ajuga pyramidalis,
AJUG REP,B4,,,,,Ajuga reptans,
ALCH ALI,B4,,,,,Alchemilla alpina,
ALCH/VUL,B4,,,,,Alchemilla vulgaris COLL,
ALLI CAR,B4,,,,,Allium carinatum,
ALLI PET,B4,,,,,Alliaria petiolata,
ALLI SCO,B4,,,,,Allium scorodoprasum,
ALNU GLU,B4,,,,,Alnus glutinosa,
ALNU INC,B4,,,,,Alnus incana,
AMEOVAL,BX_AT,,,,,Amelanchier ovalis,
ANAC PYR,B4,,,,,Anacamptis pyramidalis,
ANDR POL,B4,,,,,Andromeda polifolia,
ANEM NEM,B4,,,,,Anemone nemorosa,
ANGE SYL,B4,,,,,Angelica sylvestris,
ANTE DIO,B4,,,,,Antennaria dioica,
ANTH LIL,B4,,,,,Anthericum liliago,
ANTH ODO,B4,,,,,Anthoxanthum odoratum,
ANTH RAM,B4,,,,,Anthericum ramosum,
ANTH SYL,B4,,,,,Anthriscus sylvestris,
APOS FOE,B4,,,,,Aposeris foetida,
AQUATRA,BX_AT,,,,,Aquilegia atrata,
