SUBPROG,AREA,INST,SCODE,MEDIUM,LISTMED,SIZE,YYYYMM,SPOOL,PFLAG,SPECIES,LISTSPE,CLASS,PARAM,PARLIST,VALUE,UNIT,FLAGQUA,FLAGSTA,TREE,source_datafile ,Comment
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,ABIE ALB,B4,,COVE_T2,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,FAGU SYL,B4,,COVE_T2,IM,17.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,PICE ABI,B4,,COVE_T2,IM,37.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,SORB AUC,B4,,COVE_T2,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,FAGU SYL,B4,,COVE_T1,IM,17.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,PICE ABI,B4,,COVE_T1,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,FAGU SYL,B4,,COVE_S,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,PICE ABI,B4,,COVE_S,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,SORB AUC,B4,,COVE_S,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,ABIE ALB,B4,,COVE_F,IM,0.1,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,DESC FLE,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,DRYO CAR,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,FAGU SYL,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,GALE TET,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,HIER MUR,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,IMPA NOL,B4,,COVE_F,IM,0.1,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,LUZU SYL,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,MAJA BIF,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,MELA SYL,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,PICE ABI,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,RUBU IDA,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
