SPECIES,LISTSPE
ABIE ALB,B4
FAGU SYL,B4
PICE ABI,B4
SORB AUC,B4
FAGU SYL,B4
PICE ABI,B4
FAGU SYL,B4
PICE ABI,B4
SORB AUC,B4
ABIE ALB,B4
DESC FLE,B4
DRYO CAR,B4
FAGU SYL,B4
GALE TET,B4
HIER MUR,B4
IMPA NOL,B4
LUZU SYL,B4
MAJA BIF,B4
MELA SYL,B4
PICE ABI,B4
RUBU IDA,B4
SORB AUC,B4
VACC MYR,B4
VERO OFF,B4
ABIE ALB,B4
FAGU SYL,B4
PICE ABI,B4
SORB AUC,B4
FAGU SYL,B4
PICE ABI,B4
ABIE ALB,B4
PICE ABI,B4
ATHY FIL,B4
CALA VIL,B4
DRYO CAR,B4
FAGU SYL,B4
GYMN DRY,B4
LYCO ANN,B4
MAJA BIF,B4
OXAL ACE,B4
PARI QUA,B4
PICE ABI,B4
RUBU IDA,B4
SORB AUC,B4
VACC MYR,B4
PICE ABI,B4
PICE ABI,B4
PICE ABI,B4
ABIE ALB,B4
ATHY FIL,B4
CALA VIL,B4
CIRC ALP,B4
DRYO CAR,B4
DRYO DIL,B4
EQUI SYL,B4
FAGU SYL,B4
IMPA NOL,B4
LUZU SYL,B4
LYCO ANN,B4
MAJA BIF,B4
OXAL ACE,B4
PICE ABI,B4
RUBU IDA,B4
SOLD MON,B4
SORB AUC,B4
TRIE EUR,B4
VACC MYR,B4
PICE ABI,B4
FAGU SYL,B4
PICE ABI,B4
SORB AUC,B4
ABIE ALB,B4
FAGU SYL,B4
PICE ABI,B4
SORB AUC,B4
ATHY FIL,B4
C ECHINA,B4
C PILULI,B4
CALA VIL,B4
CIRC ALP,B4
DESC FLE,B4
DRYO CAR,B4
DRYO DIL,B4
EQUI SYL,B4
FAGU SYL,B4
HIER MUR,B4
HOMO ALP,B4
LUZU SYL,B4
LYCO ANN,B4
MAJA BIF,B4
MELA SYL,B4
OXAL ACE,B4
PICE ABI,B4
PREN PUR,B4
RUBU IDA,B4
SORB AUC,B4
THEL PHE,B4
VACC MYR,B4
VERO OFF,B4
FAGU SYL,B4
PICE ABI,B4
FAGU SYL,B4
PICE ABI,B4
SORB AUC,B4
ABIE ALB,B4
BETU PUB,B4
C PILULI,B4
CALA VIL,B4
DESC FLE,B4
DRYO CAR,B4
EPIL ANG,B4
