SPECIES,Genus,sp,species_name
ABIE ALB,,,Abies alba
ACER CAM,,,Acer campestre
ACER OBT,,,
ACER PLA,,,Acer platanoides
ACER PSE,,,Acer pseudoplatanus
ACER Z,,,Acer sp.
ACHI MIL,,,Achillea millefolium
ACIALPI,,,Acinos alpinus
ACON NAP,,,Aconitum napellus
ACON VUL,,,Aconitum vulparia
ACONITUZ,,,Aconitum sp.
ACTA SPI,,,Actaea spicata
ADENOALL,,,Adenostyles Alliariae
ADENOGLA,,,Adenostyles glabra
ADOX MOS,,,Adoxa moschatellina
AEGO POD,,,Aegopodium podagraria
AGRO CAP,,,Agrostis capillaris
AGRO CNA,,,Agrostis canina
AGRO CUR,,,Agrostis curtisii
AGRO GIG,,,Agrostis gigantea
AGRO REP,,,Agropyron repens
AGRO STO,,,Agrostis stolonifera
AGRO TEN,,,Agrostis tenuis
AGROSTIZ,,,Agrostis sp.
AJUG PYR,,,Ajuga pyramidalis
AJUG REP,,,Ajuga reptans
ALCH ALI,,,Alchemilla alpina
ALCH/VUL,,,Alchemilla vulgaris
ALLI CAR,,,Allium carinatum
ALLI PET,,,Alliaria petiolata
ALLI SCO,,,Allium scorodoprasum
ALNU GLU,,,Alnus glutinosa
ALNU INC,,,Alnus incana
AMEOVAL,,,Amelanchier ovalis
ANAC PYR,,,Anacamptis pyramidalis
ANDR POL,,,Andromeda polifolia
ANEM NEM,,,Anemone nemorosa
ANGE SYL,,,Angelica sylvestris
ANTE DIO,,,Antennaria dioica
ANTH LIL,,,Anthericum liliago
ANTH ODO,,,Anthoxanthum odoratum
ANTH RAM,,,Anthericum ramosum
ANTH SYL,,,Anthriscus sylvestris
APOS FOE,,,Aposeris foetida
AQUATRA,,,Aquilegia atrata
AQUI VUL,,,Aquilegia vulgaris
AQUILEGZ,,,Aquilegia sp.
ARAB ALP,,,Arabis alpina
ARBU UNE,Arbutus,unedo,Arbutus unedo
ARCT UVA,,,Arctostaphylos uva-ursi
AREM AGR,Aremonia,agrimonoides,Aremonia agrimonoides
AREN SER,,,Arenaria serpyllifolia
ARIS PRO,Arisarum,proboscideum,Arisarum proboscideum
ARIS ROT,Aristolochia,rotunda,Aristolochia rotunda
ARNI MON,,,Arnica montana
ARRH ELA,,,Arrhenatherum elatius
ARUM MAC,,,Arum maculatum
ARUM PRO,,,
ARUN DIO,,,Aruncus dioicus
AS TR.QU,,,Asplenium trichomanes
ASAR EUR,,,Asarum europaeum
ASPA ACU,Asparagus,acutifolius,Asparagus acutifolius
ASPH ALB,,,
ASPL ONO,Asplenium,onopteris,Asplenium onopteris
ASPL RUT,,,Asplenium ruta-muraria
ASPL TRI,,,Asplenium trichomanes
ASPL VIR,,,Asplenium viride
ASTBELL,,,ASTER BELLIDIASTRUM
ASTR MAJ,,,Astrantia major
ASTR MIN,Astrantia,minor,Astrantia minor
ATHAMCRE,,,Athamanta cretensis
ATHY DIS,,,Athyrium distentifolium
ATHY FIL,,,Athyrium filix-femina
ATRO BEL,,,Atropa bella-donna
BALL NIG,,,Ballota nigra
BARB VUL,,,Barbarea vulgaris
BE PU.TO,,,Betula pubescens ssp. tortuosa
BELL PER,,,Bellis perennis
BERB VUL,,,Berberis vulgaris
BETO OFF,,,Betonica officinalis
BETOALO,,,Betonica alopecuros
BETU NAN,,,Betula nana
BETU PEN,,,Betula pendula
BETU PUB,,,Betula pubescens
BETULA Z,,,Betula sp.
BISCULAE,,,Biscutella laevigata ssp. austriaca
BLEC SPI,,,Blechnum spicant
BRAC PIN,,,Brachypodium pinnatum
BRAC RUP,,,Brachypodium rupestre
BRAC SYL,,,Brachypodium sylvaticum
BROM BEN,,,Bromus benekeni
BROM RAM,,,Bromus ramosus
BUGL PUR,Buglossoides,purpurocaerulea,Buglossoides purpurocaerulea
BUPHSALI,,,BUPHTHALMUM SALICIFOLIUM
C BRIZOI,,,Carex brizoides
C CANESC,,,Carex canescens
C CARYO,,,Carex caryophyllea
C DEMISS,,,Carex demissa
C DIGITA,,,Carex digitata
C DISTAN,,,Carex distans
C DISTIC,,,Carex disticha
C ECHINA,,,Carex echinata
C FLACCA,,,Carex flacca
C FLAVA,,,Carex flava
C GLOBUL,,,Carex globularis
C HIRTA,,,Carex hirta
C LASIOC,,,Carex lasiocarpa
C LEPIDO,,,Carex lepidocarpa
C LEPORI,,,Carex leporina
C LIMOSA,,,Carex limosa
C MAGELL,,,Carex magellanica
C MICHEL,,,Carex michelii
C MONTAN,,,Carex montana
C MURICA,,,Carex muricata
C NIGRA,,,Carex nigra
C OLBIE,Carex,olbiensis,Carex olbiensis
C ORNITH,,,Carex ornithopoda
C OVALIS,,,Carex ovalis
C PALLES,,,Carex pallescens
C PANICE,,,Carex panicea
C PAUCIF,,,Carex pauciflora
C PENDUL,,,Carex pendula
C PILULI,,,Carex pilulifera
C PRAECO,,,Carex praecox
C REMOTA,,,Carex remota
C ROSTRA,,,Carex rostrata
C SPICAT,,,Carex spicata
C SYLVAT,,,Carex sylvatica
C TUMIDI,,,Carex tumidicarpa
C VAGINA,,,Carex vaginata
CALA ARU,,,Calamagrostis arundinacea
CALA CAN,,,Calamagrostis canescens
CALA EPI,,,Calamagrostis epigeios
CALA LAP,,,Calamagrostis lapponica
CALA PUR,,,Calamagrostis purpurea
CALA VAR,,,Calamagrostis varia
CALA VIL,Calamagrostis,villosa,Calamagrostis villosa
CALAMAGZ,,,CALAMAGROSTIS SP.
CALL PST,,,Calla palustris
CALL VUL,,,Calluna vulgaris
CALT PAL,,,Caltha palustris
CALYCSTI,,,Calycocorsus stipitatus
CAMCESP,,,Campanula cespitosa
CAMP BAR,,,Campanula barbata
CAMP GLO,,,Campanula glomerata
CAMP PAT,,,Campanula patula
CAMP PER,,,Campanula persicifolia
CAMP RAU,,,Campanula rapunculus
CAMP ROI,,,Campanula rapunculoides
CAMP ROT,,,Campanula rotundifolia
CAMP SCH,,,Campanula scheuchzeri
CAMP TRA,,,Campanula trachelium
CARALBA,,,Carex alba
CARBIBI,,,Carlina biebersteinii
CARBRAC,,,Carex brachystachys
CARD ACA,,,Carduus acanthoides
CARD AMA,,,Cardamine amara
CARD BUL,,,Cardamine bulbifera
CARD CHE,Cardamine,chelidonia,Cardamine chelidonia
CARD CRI,,,Carduus crispus
CARD FLE,,,Cardamine flexuosa
CARD HEP,Cardamine,heptaphylla,Cardamine heptaphylla
